Profile,Wheel,Depth.Upper,Depth.Lower,ConeIndex,Crop,Tillage,ResidueRemoved,Plot,Field,Block,Plot_2,Side,Tx,GWC,BD,VWC,TC.perc,OM.perc
307E,Trafficked,5,15,0.793220065,CC,CP,60,307,71,3,7,E,5,,,,,
307E,Untrafficked,5,15,0.930315262,CC,CP,60,307,71,3,7,E,5,0.214460186,1.61143769,0.345589226,2,3
307E,Trafficked,15,30,1.45066437,CC,CP,60,307,71,3,7,E,5,,,,,
307E,Untrafficked,15,30,1.545798297,CC,CP,60,307,71,3,7,E,5,0.215789474,1.538522107,0.331996876,2.49,3.6
307E,Trafficked,30,60,1.58381321,CC,CP,60,307,71,3,7,E,5,,,,,
307E,Untrafficked,30,60,1.477115743,CC,CP,60,307,71,3,7,E,5,0.20970187,1.774297125,0.372073424,1.46,2.2
307W,Trafficked,0,5,0.199176392,CC,CP,60,307,71,3,7,W,5,,,,,
307W,Untrafficked,0,5,0.289957143,CC,CP,60,307,71,3,7,W,5,0.202489627,1.131517728,0.229120602,2.52,3.9
307W,Trafficked,5,15,1.038607918,CC,CP,60,307,71,3,7,W,5,,,,,
307W,Untrafficked,5,15,0.804548008,CC,CP,60,307,71,3,7,W,5,0.236035422,1.56528588,0.369462914,2.37,3.4
307W,Trafficked,15,30,1.434718804,CC,CP,60,307,71,3,7,W,5,,,,,
307W,Untrafficked,15,30,1.298138586,CC,CP,60,307,71,3,7,W,5,0.248215036,1.501987385,0.372815852,1.93,2.9
307W,Trafficked,30,60,1.567864233,CC,CP,60,307,71,3,7,W,5,,,,,
307W,Untrafficked,30,60,1.235493985,CC,CP,60,307,71,3,7,W,5,0.255461593,1.714062854,0.437877227,0.87,1.8
